Station,Setup_date,Retrieval_date,Latitude,Longitude,Patch ID,Raw_Parea_d80_km,PatchSize,C_Function,Duration,Human_Ratio,AgAnimal_Ratio,D_2_PA,HMI,VNL_2,P_Area_log,D_2_Core,Canopy,Elev,NPP,Precip
Cusuco_2019_6,6/29/2019,7/26/2019,15.5141,-88.2867,370,563,3_Large,1,-1.665421595,0.003669668,-0.194890231,-0.363661862,0.182137889,-0.119078307,0.480097018,-0.502083145,0.940631793,1.270583421,0.428144126,-0.118046535
Cusuco_2019_7,6/28/2019,7/25/2019,15.5223,-88.2717,370,563,3_Large,1,-1.665421595,0.003669668,-0.194890231,-0.363661862,0.150389908,-0.131758747,0.480097018,-0.502083145,-0.039436069,1.206005021,-0.109171831,-0.151446606
Cusuco_2019_8,6/28/2019,7/25/2019,15.5191,-88.2748,370,563,3_Large,1,-1.665421595,-0.284839017,-0.194890231,-0.363661862,0.152093741,-0.153933203,0.480097018,-0.502083145,0.734660732,1.207336733,-0.109171831,-0.151446606
Cusuco_2019_9,6/29/2019,7/26/2019,15.5195,-88.287,370,563,3_Large,1,-1.665421595,0.003669668,-0.194890231,-0.363661862,0.182137889,-0.119078307,0.480097018,-0.502083145,0.528184587,0.946284638,-1.040704269,-0.105521509
Cusuco_2021_1,4/18/2021,6/29/2021,15.5099,-88.2358,370,563,3_Large,1,-0.046664424,0.508559867,-0.194890231,-0.363661862,0.087059304,-0.333716572,0.480097018,-0.502083145,0.944801779,2.017753931,-0.558426572,-0.222421757
Cusuco_2021_2,5/28/2021,7/2/2021,15.4806,-88.216,370,563,3_Large,1,-1.377642543,-0.128220016,-0.194890231,-0.363661862,0.139390833,-0.298905039,0.480097018,-0.502083145,0.294666631,1.099514002,-0.004559542,-0.224509262
Cusuco_2021_4,9/29/2021,12/6/2021,15.5036,-88.2326,370,563,3_Large,1,-0.190553951,-0.344237864,-0.194890231,-0.363661862,0.087059304,-0.333716572,0.480097018,-0.502083145,0.736935326,1.779021249,-0.213863311,-0.224509262
DINANT_2020_10,8/22/2020,10/31/2020,15.9393,-85.8089,51,68,2_Medium,1,-0.118609188,-0.46206578,-0.194890231,-0.289364073,1.033243119,-0.344014092,-0.468642831,4.830385348,-2.275546841,-1.238955238,-1.641532001,0.199254139
DINANT_2020_9,8/22/2020,11/25/2020,15.9571,-85.8145,51,68,2_Medium,1,0.780700352,0.328621556,-0.194890231,-0.363661862,0.71671469,-0.320091685,-0.468642831,5.015511761,-2.713013806,-1.254163916,-1.333080174,0.291104334
ElCajon_2020_1,7/8/2019,9/18/2019,15.032,-87.7403,935,9,1_Small,1,-0.046664424,-0.356966188,6.230157891,-0.357071044,1.449947082,2.031917848,-1.376319089,1.356494102,-1.578531291,-0.614610843,-1.061056547,-0.32262197
ElCajon_2020_10,7/10/2019,9/18/2019,15.0056,-87.7474,935,9,1_Small,1,-0.118609188,-0.350783859,0.465971861,-0.363661862,6.924790389,-0.417828186,-1.376319089,1.054119108,-3.219095652,-0.788880949,-1.879819947,-0.047071385
ElCajon_2020_2,7/9/2019,9/18/2019,15.0023,-87.7388,935,9,1_Small,2,-0.082636806,-0.353918561,-0.194890231,-0.363661862,2.124394008,-0.129182763,-1.376319089,1.084133156,-1.252389673,-0.787403414,-1.979363965,-0.410297156
ElCajon_2020_3,7/9/2019,9/18/2019,14.9643,-87.7296,1020,1,1_Small,1,-0.082636806,-0.353918561,-0.194890231,-0.363661862,0.000415548,-0.434279699,-2.362515609,0.859016562,-0.65747482,-0.589881256,-2.795118079,-0.335146997
ElCajon_2020_4,7/9/2019,9/18/2019,14.9512,-87.7293,1020,1,1_Small,2,-0.082636806,-0.463633131,-0.194890231,-0.363661862,0.019394722,-0.540269906,-2.362515609,0.781135083,-1.470617681,-0.616203963,-3.479255522,0.142891519
ElCajon_2020_5,7/9/2019,9/18/2019,14.9418,-87.7499,1090,8,1_Small,1,-0.082636806,-0.353918561,-0.194890231,-0.363661862,1.183290435,-0.526089158,-1.429184518,0.521467665,-1.38759748,-0.679590763,-3.602715445,0.201341643
ElCajon_2020_6,7/9/2019,8/31/2019,14.9489,-87.7439,1090,8,1_Small,1,-0.730139674,-0.573347702,4.823920943,-0.363661862,4.827370558,-0.263512515,-1.429184518,0.62306866,-1.964695093,-0.648061307,-4.476833872,0.128278988
ElCajon_2020_7,7/10/2019,8/13/2019,14.9619,-87.6936,1062,1,1_Small,1,-1.413614924,-0.344237864,0.485408982,-0.363661862,7.988255619,-0.430187213,-2.362515609,1.201927022,-1.302302841,-0.772485021,-3.003233972,-0.593997546
ElCajon_2020_8,7/10/2019,9/16/2019,14.9359,-87.6855,1062,1,1_Small,1,-0.190553951,-0.458792783,-0.194890231,-0.363661862,2.699171119,-0.524790969,-2.362515609,1.182049845,-1.982512177,-0.789266581,-2.405257143,-0.616960095
ElCajon_2020_9,7/10/2019,9/18/2019,15.0184,-87.7186,886,2,1_Small,1,-0.118609188,0.094343827,5.422437556,-0.363661862,5.32946435,-0.053034989,-2.051405246,1.37842343,-2.764822444,-0.804764093,-0.693369297,-0.564772484
ElCarbon_2020_1,9/26/2020,12/6/2020,15.2586,-85.5352,1180,861,3_Large,1,-0.082636806,-0.244203991,-0.194890231,-0.363661862,-0.302131846,-0.274703802,0.670769813,-0.502083145,0.924962642,0.53220574,0.018802021,-0.161884128
ElCarbon_2020_10,9/26/2020,12/6/2020,15.2634,-85.5459,1180,861,3_Large,1,-0.082636806,-0.353918561,-0.194890231,-0.363661862,-0.31937766,-0.353436077,0.670769813,-0.502083145,0.42317716,0.560650142,0.79377239,-0.232859279
ElCarbon_2020_11,9/28/2020,12/7/2020,15.2477,-85.5216,1180,861,3_Large,3,-0.118609188,-0.239501938,-0.194890231,-0.363661862,-0.212043623,-0.443670436,0.670769813,-0.502083145,-0.076460232,0.537487657,0.740317965,-0.245384306
